name,date,tmax,tmin,tavg
"BEIJING, CH",1980-07-02,85.0,71.0,77.0
"BEIJING, CH",1981-07-02,89.0,73.0,81.0
"BEIJING, CH",1982-07-02,93.0,71.0,82.0
"BEIJING, CH",1983-07-02,80.0,71.0,74.0
"BEIJING, CH",1984-07-02,88.0,72.0,79.0
"BEIJING, CH",1985-07-02,79.0,64.0,70.0
"BEIJING, CH",1986-07-02,81.0,71.0,77.0
"BEIJING, CH",1987-07-02,84.0,67.0,73.0
"BEIJING, CH",1988-07-02,91.0,66.0,75.0
"BEIJING, CH",1989-07-02,78.0,67.0,72.0
"BEIJING, CH",1990-07-02,81.0,69.0,75.0
"BEIJING, CH",1991-07-02,90.0,70.0,81.0
"BEIJING, CH",1992-07-02,90.0,70.0,82.0
"BEIJING, CH",1993-07-02,86.0,68.0,78.0
"BEIJING, CH",1994-07-02,97.0,71.0,85.0
"BEIJING, CH",1995-07-02,86.0,65.0,75.0
"BEIJING, CH",1996-07-02,90.0,74.0,82.0
"BEIJING, CH",1997-07-02,89.0,73.0,80.0
"BEIJING, CH",1998-07-02,90.0,69.0,80.0
"BEIJING, CH",1999-07-02,103.0,74.0,89.0
"BEIJING, CH",2000-07-02,103.0,77.0,90.0
"BEIJING, CH",2001-07-02,88.0,80.0,83.0
"BEIJING, CH",2002-07-02,87.0,67.0,78.0
"BEIJING, CH",2003-07-02,85.0,74.0,78.0
"BEIJING, CH",2004-07-02,95.0,64.0,79.0
"BEIJING, CH",2005-07-02,91.0,77.0,85.0
"BEIJING, CH",2006-07-02,90.0,70.0,81.0
"BEIJING, CH",2007-07-02,91.0,70.0,80.0
"BEIJING, CH",2008-07-02,85.0,71.0,77.0
"BEIJING, CH",2009-07-02,96.0,73.0,85.0
"BEIJING, CH",2010-07-02,98.0,69.0,83.0
"BEIJING, CH",2011-07-02,82.0,76.0,79.0
"BEIJING, CH",2012-07-02,97.0,75.0,88.0
"BEIJING, CH",2014-07-02,80.0,68.0,75.0
