date,tmax,tmin
1981-12-18,29.0,22.0
1982-12-18,43.0,19.0
1983-12-18,49.0,19.0
1984-12-18,32.0,14.0
1985-12-18,36.0,15.0
1986-12-18,33.0,24.0
1987-12-18,48.0,23.0
1988-12-18,34.0,21.0
1989-12-18,34.0,24.0
1990-12-18,43.0,28.0
1991-12-18,33.0,22.0
1992-12-18,33.0,25.0
1993-12-18,43.0,23.0
1994-12-18,33.0,18.0
1995-12-18,44.0,19.0
1996-12-18,36.0,16.0
1997-12-18,33.0,24.0
1998-12-18,54.0,29.0
1999-12-18,31.0,19.0
2000-12-18,46.0,28.0
2001-12-18,31.0,19.0
2002-12-18,34.0,23.0
2003-12-18,35.0,27.0
2004-12-18,35.0,28.0
2005-12-18,40.0,17.0
2006-12-18,33.0,18.0
2007-12-18,42.0,26.0
2008-12-18,39.0,20.0
2009-12-18,28.0,18.0
2010-12-18,44.0,23.0
2011-12-18,39.0,20.0
