date,tmax,tmin
1981-01-20,33.0,14.0
1982-01-20,43.0,12.0
1983-01-20,33.0,9.0
1984-01-20,35.0,10.0
1985-01-20,38.0,16.0
1986-01-20,30.0,25.0
1987-01-20,33.0,18.0
1988-01-20,40.0,20.0
1989-01-20,45.0,23.0
1990-01-20,30.0,8.0
1991-01-20,41.0,24.0
1992-01-20,39.0,20.0
1993-01-20,34.0,17.0
1994-01-20,31.0,19.0
1995-01-20,35.0,18.0
1996-01-20,37.0,19.0
1997-01-20,33.0,26.0
1998-01-20,31.0,12.0
1999-01-20,39.0,19.0
2000-01-20,26.0,11.0
2001-01-20,23.0,14.0
2002-01-20,40.0,26.0
2003-01-20,39.0,28.0
2004-01-20,33.0,13.0
2005-01-20,37.0,23.0
2006-01-20,40.0,26.0
2007-01-20,39.0,23.0
2008-01-20,32.0,22.0
2009-01-20,48.0,23.0
2010-01-20,42.0,28.0
2011-01-20,32.0,13.0
