date,tmax,tmin
1981-08-01,94.0,78.0
1982-08-01,88.0,74.0
1983-08-01,86.0,71.0
1984-08-01,93.0,77.0
1985-08-01,85.0,75.0
1986-08-01,89.0,70.0
1987-08-01,89.0,73.0
1988-08-01,83.0,75.0
1989-08-01,93.0,73.0
1990-08-01,84.0,71.0
1991-08-01,90.0,69.0
1992-08-01,84.0,70.0
1993-08-01,80.0,68.0
1994-08-01,93.0,78.0
1995-08-01,85.0,79.0
1996-08-01,76.0,71.0
1997-08-01,84.0,73.0
1998-08-01,89.0,74.0
1999-08-01,92.0,71.0
2000-08-01,96.0,73.0
2001-08-01,86.0,74.0
2002-08-01,94.0,83.0
2003-08-01,91.0,78.0
2004-08-01,87.0,70.0
2005-08-01,88.0,71.0
2006-08-01,90.0,68.0
2007-08-01,91.0,72.0
2008-08-01,90.0,77.0
2009-08-01,88.0,72.0
2010-08-01,89.0,75.0
2011-08-01,94.0,78.0
