date,tmax,tmin
1981-10-01,73.0,53.0
1982-10-01,71.0,56.0
1983-10-01,71.0,59.0
1984-10-01,76.0,56.0
1985-10-01,78.0,43.0
1986-10-01,74.0,49.0
1987-10-01,84.0,60.0
1988-10-01,66.0,58.0
1989-10-01,79.0,53.0
1990-10-01,75.0,47.0
1991-10-01,70.0,60.0
1992-10-01,73.0,57.0
1993-10-01,74.0,49.0
1994-10-01,79.0,56.0
1995-10-01,69.0,65.0
1996-10-01,62.0,49.0
1997-10-01,78.0,56.0
1998-10-01,84.0,63.0
1999-10-01,70.0,56.0
2000-10-01,73.0,64.0
2001-10-01,78.0,48.0
2002-10-01,71.0,60.0
2003-10-01,71.0,52.0
2004-10-01,60.0,51.0
2005-10-01,73.0,64.0
2006-10-01,84.0,58.0
2007-10-01,67.0,58.0
2008-10-01,75.0,54.0
2009-10-01,83.0,64.0
2010-10-01,74.0,56.0
2011-10-01,72.0,50.0
2012-10-01,79.0,51.0
