date,tmax,tmin
1981-02-10,22.0,-2.0
1982-02-10,24.0,1.0
1983-02-10,2.0,-12.0
1984-02-10,22.0,1.0
1985-02-10,23.0,4.0
1986-02-10,24.0,4.0
1987-02-10,36.0,25.0
1988-02-10,19.0,-4.0
1989-02-10,24.0,5.0
1990-02-10,33.0,25.0
1991-02-10,19.0,7.0
1992-02-10,18.0,2.0
1993-02-10,32.0,9.0
1994-02-10,9.0,-5.0
1995-02-10,38.0,9.0
1996-02-10,26.0,2.0
1997-02-10,17.0,7.0
1998-02-10,31.0,4.0
1999-02-10,33.0,8.0
2000-02-10,22.0,1.0
2001-02-10,7.0,-9.0
2002-02-10,23.0,-3.0
2003-02-10,17.0,-2.0
2004-02-10,37.0,16.0
2005-02-10,6.0,-12.0
2006-02-10,22.0,6.0
2007-02-10,29.0,17.0
2008-02-10,29.0,13.0
2009-02-10,41.0,24.0
2010-02-10,12.0,-5.0
2011-02-10,11.0,-12.0
2012-02-10,13.0,-3.0
