STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/1,0,",,s",,,44,",,s",47,",,s",42,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/2,0.02,",,s",,,44,",,s",46,",,s",42,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/3,0,",,s",,,43,",,s",45,",,s",40,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/4,0,"T,,s",,,42,",,s",47,",,s",40,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/5,0,"T,,s",,,41,",,s",45,",,s",36,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/6,0,",,s",,,38,",,s",46,",,s",31,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/7,0,",,s",,,40,",,s",50,",,s",36,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/8,0,",,s",,,41,",,s",51,",,s",31,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/9,0,",,s",,,40,",,s",52,",,s",32,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/10,0,",,s",,,43,",,s",44,",,s",40,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/11,0,"T,,s",,,42,",,s",45,",,s",40,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/12,0,"T,,s",,,44,",,s",50,",,s",38,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/13,0,"T,,s",,,45,",,s",50,",,s",41,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/14,0,",,s",,,40,",,s",53,",,s",31,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/15,0,",,s",,,38,",,s",52,",,s",29,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/16,0,",,s",,,45,",,s",54,",,s",40,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/17,0,",,s",,,40,",,s",50,",,s",31,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/18,0,",,s",,,47,",,s",54,",,s",42,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/19,0,",,s",,,45,",,s",50,",,s",42,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/20,0,",,s",,,45,",,s",48,",,s",42,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/21,0,",,s",,,44,",,s",54,",,s",35,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/22,0,",,s",,,44,",,s",48,",,s",39,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/23,0,",,s",,,46,",,s",49,",,s",43,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/24,0.01,",,s",,,47,",,s",55,",,s",43,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/25,0,",,s",,,47,",,s",59,",,s",38,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/26,0,"T,,s",,,47,",,s",50,",,s",47,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/27,0,",,s",,,49,",,s",59,",,s",45,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/28,0,",,s",,,48,",,s",51,",,s",46,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/29,0.01,",,s",,,42,",,s",47,",,s",39,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/30,0.06,",,s",,,35,",,s",40,",,s",31,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/1/31,0,"T,,s",,,31,",,s",37,",,s",25,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/2/1,0,"T,,s",,,34,",,s",40,",,s",28,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/2/2,0,",,s",,,35,",,s",41,",,s",30,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/2/3,0.04,",,s",,,37,",,s",41,",,s",34,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/2/4,0.02,",,s",,,35,",,s",39,",,s",32,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/2/5,0,",,s",,,32,",,s",35,",,s",30,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/2/6,0.03,",,s",,,32,",,s",34,",,s",29,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/2/7,0.02,",,s",,,34,",,s",37,",,s",32,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/2/8,0.06,",,s",,,35,",,s",39,",,s",32,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/2/9,0.02,",,s",,,35,",,s",37,",,s",33,",,s"
CHM00056294,"CHENGDU, CH",30.667,104.017,508,1980/2/10,0,",,s",,,36,",,s",48,",,s",27,",,s"
