STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/1,0,",,s",,,21,",,s",42,",,s",10,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/2,0,"T,,s",,,19,",,s",26,",,s",16,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/3,0.02,",,s",,,16,",,s",22,",,s",12,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/4,0,"T,,s",,,15,",,s",27,",,s",9,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/5,0,",,s",,,13,",,s",33,",,s",4,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/6,0,"T,,s",,,13,",,s",24,",,s",8,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/7,0,",,s",,,12,",,s",27,",,s",-3,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/8,0,",,s",,,18,",,s",38,",,s",4,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/9,0,",,s",,,19,",,s",41,",,s",5,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/10,0,",,s",,,18,",,s",34,",,s",8,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/11,0,",,s",,,17,",,s",28,",,s",8,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/12,0,",,s",,,18,",,s",32,",,s",8,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/13,0,",,s",,,16,",,s",28,",,s",5,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/14,0,",,s",,,15,",,s",36,",,s",2,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/15,0,",,s",,,17,",,s",34,",,s",3,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/16,0,",,s",,,19,",,s",41,",,s",5,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/17,0,",,s",,,16,",,s",28,",,s",6,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/18,0,",,s",,,17,",,s",31,",,s",4,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/19,0,",,s",,,18,",,s",35,",,s",5,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/20,0,",,s",,,19,",,s",39,",,s",6,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/21,0,",,s",,,22,",,s",45,",,s",6,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/22,0,",,s",,,20,",,s",37,",,s",8,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/23,0,",,s",,,22,",,s",42,",,s",11,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/24,0,",,s",,,24,",,s",41,",,s",12,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/25,0,",,s",,,20,",,s",33,",,s",8,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/26,0,",,s",,,20,",,s",30,",,s",11,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/27,0,",,s",,,22,",,s",31,",,s",14,",,s"
CHM00052866,"XINING, CH",36.617,101.767,2296,1980/1/28,0,"T,,s",,,18,",,s",24,",,s",16,",,s"
